master_key,source_id,trade_name,active_ingredient,strength,dosage_form,package_shape,manufacturer_ar,source,source_uri
XRDF-1,1,VOPERAN SYRUP,METOCLOPRAMIDE HCL,5 MG/5 ML.,شراب,FOR /100/ML.SY.IN GLASS BOTTLE,شركة الرازي محدودة المسؤولية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/1
XRDF-10,10,ZIXIF 250 CTD TAB.,CEFUROXIME,250 MG/CTD TAB.,أقراص ملبسة,FOR /20/CTD TAB. ALU.ALU.,معمل هيومن فارما,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/10
XRDF-100,100,ZOLORAZ-5 CTD TAB.,ZOLMITRIPTAN,5 MG/CTD TAB.,أقراص ملبسة,FOR /6/CTD TAB.BLISTER P.V.D.C.,شركة الرازي محدودة المسؤولية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/100
XRDF-1000,1000,UNIPRINE-30,CYCLOBENZAPRINE HCL,30 MG/CAP.,محافظ مديدة التحرر,FOR /30/CAP.BLISTER,يونايتد فارما,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/1000
XRDF-10000,10000,DALVITIN 1000,VITAMIN D3 (CHOLECALCIFEROL),1000 IU/TAB.,أقراص,FOR /30/TAB.BLISTER P.V.D.C.,اوغاريت للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/10000
XRDF-10001,10001,CONVIRON,FOLIC ACID+IRON+ZINC,0.5MG+50MG+22.5MG,محافظ,FOR /20/CAP.BLISTER,معمل الأفق للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/10001
XRDF-10002,10002,DALVITIN 20.000,VITAMIN D3 (CHOLECALCIFEROL),20.000 IU/TAB.,أقراص,FOR /10/TAB.BLISTER P.V.D.C.,اوغاريت للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/10002
XRDF-10003,10003,CONVIRON-SR,FOLIC ACID+IRON+ZINC,0.5MG+47MG+22.5MG/CAP.,محافظ مديدة التحرر,FOR /20/CAP.BLISTER,معمل الأفق للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/10003
XRDF-10004,10004,DALVITIN 50.000,VITAMIN D3 (CHOLECALCIFEROL),50.000 IU/TAB.,أقراص,FOR /10/TAB.BLISTER P.V.D.C.,اوغاريت للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/10004
XRDF-10005,10005,COPENDIL PLUS-4/1.25 CTD TAB.,PERINDOPRIL+INDAPAMIDE,4 MG+1.25 MG/CTD TAB.,أقراص ملبسة,FOR /30/TAB.BLISTER ALU.ALU.,مختبرات آسيا للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/10005
XRDF-10006,10006,DALVITIN 5000,VITAMIN D3 (CHOLECALCIFEROL),5000 IU/TAB.,أقراص,FOR /30/TAB.BLISTER P.V.D.C.,اوغاريت للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/10006
XRDF-10007,10007,COPENDIL PLUS-8/2.5 CTD TAB.,PERINDOPRIL+INDAPAMIDE,8 MG+2.5 MG/CTD TAB.,أقراص ملبسة,FOR /15/TAB.ALU.ALU.,مختبرات آسيا للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/10007
XRDF-10008,10008,DAMATIL-200 TAB.,SULPIRIDE,200 MG/TAB.,أقراص,FOR /20/TAB.BLISTER,معمل التراميديكا للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/10008
XRDF-10009,10009,COPENDIL PLUS-8/2.5 CTD TAB.,PERINDOPRIL+INDAPAMIDE,8 MG+2.5 MG/CTD TAB.,أقراص ملبسة,FOR /30/TAB.ALU.ALU.,مختبرات آسيا للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/10009
XRDF-1001,1001,TRI-PLAND 160/10/25 CTD TAB.,VALSARTAN+AMLODIPINE+HYDROCHLORTHIAZIDE,160MG+10MG+25MG/CTD TAB.,أقراص ملبسة,FOR /30/CTD TAB.BLISTER,معمل التراميديكا للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/1001
XRDF-10010,10010,DAMATIL-50 CAP.,SULPIRIDE,50 MG/CAP.,محافظ,FOR /20/CAP.BLISTER,معمل التراميديكا للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/10010
XRDF-10011,10011,COPENDIL-4 TAB.,PERINDOPRIL,4 MG/TAB.,أقراص,FOR /30/CTD TAB.ALU.ALU.,مختبرات آسيا للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/10011
XRDF-10012,10012,DAMATIL-50 CAP.,SULPIRIDE,50 MG/CAP.,محافظ,FOR /30/CAP.BLISTER,معمل التراميديكا للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/10012
XRDF-10013,10013,COPENDIL-8 TAB.,PERINDOPRIL,8 MG/TAB.,أقراص,FOR /30/CTD TAB.ALU.ALU.,مختبرات آسيا للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/10013
XRDF-10014,10014,DAMIZOL TAB.,METRONIDAZOLE+DILOXANIDE,200 MG+250 MG/TAB.,أقراص,FOR /30/TAB.BLISTER,معمل اميسا,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/10014
XRDF-10015,10015,COPENGIN 10,PERINDOPRIL ARGININE,10 MG/CTD TAB.,أقراص ملبسة,FOR /30/CTD TAB.ALU.ALU.,مختبرات آسيا للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/10015
XRDF-10016,10016,DAMLORIC-100 TAB.,ALLOPURINOL,100 MG/TAB.,أقراص,FOR /30/TAB.BLISTER,معمل التراميديكا للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/10016
